cpu-id,start time(ms),width(us),actual state,predicted state,delta time(ms)
1,139.628,78.0,2,2,0.831
1,139.71,14.0,2,2,0.082
1,139.741,549.0,4,4,0.031
1,140.482,75.0,3,2,0.741
1,140.713,134.0,4,3,0.231
1,141.008,199.0,3,3,0.295
1,141.272,300.0,3,3,0.264
1,141.604,108.0,2,3,0.332
1,141.716,201.0,4,3,0.112
1,141.963,787.0,3,4,0.247
1,142.766,257.0,3,3,0.803
1,143.3,95.0,3,2,0.534
1,143.44,120.0,3,3,0.14
1,143.612,85.0,2,2,0.172
1,143.702,462.0,3,4,0.09
1,144.218,326.0,3,4,0.516
1,144.626,65.0,2,2,0.408
1,144.696,581.0,3,4,0.07
1,145.346,391.0,3,4,0.65
1,145.766,62.0,2,2,0.42
1,145.923,488.0,3,4,0.157
1,146.461,292.0,3,3,0.538
1,146.774,415.0,4,4,0.313
1,147.574,90.0,3,2,0.8
1,147.778,978.0,4,4,0.204
1,148.816,940.0,4,4,1.038
1,149.896,190.0,3,3,1.08
1,150.184,112.0,2,3,0.288
1,150.365,828.0,4,4,0.181
1,151.464,93.0,3,2,1.099
1,151.632,62.0,2,2,0.168
1,151.701,19.0,4,2,0.069
1,151.792,945.0,4,4,0.091
1,152.77,829.0,4,4,0.978
1,156.378,1235.0,4,4,3.608
1,157.668,146.0,4,3,1.29
1,158.169,542.0,4,4,0.501
1,158.772,241.0,3,3,0.603
1,159.393,80.0,3,2,0.621
1,159.576,118.0,2,3,0.183
1,159.697,963.0,4,4,0.121
1,160.767,970.0,4,4,1.07
1,161.768,1017.0,4,4,1.001
1,162.912,234.0,4,3,1.144
1,163.408,104.0,3,3,0.496
1,163.578,127.0,2,3,0.17
1,163.71,23.0,4,2,0.132
1,163.821,916.0,4,4,0.111
1,164.786,970.0,4,4,0.965
1,166.006,418.0,3,4,1.22
1,166.512,263.0,4,3,0.506
1,166.894,229.0,4,3,0.382
1,167.524,16.0,3,2,0.63
1,167.602,98.0,2,2,0.078
1,167.705,900.0,4,4,0.103
1,168.828,989.0,4,4,1.123
1,169.989,161.0,2,3,1.161
1,170.249,114.0,4,3,0.26
1,170.459,259.0,3,3,0.21
1,170.747,102.0,3,3,0.288
1,171.294,85.0,4,2,0.547
1,171.455,263.0,3,3,0.161
1,171.755,86.0,4,2,0.3
1,173.794,824.0,4,4,2.039
1,175.629,74.0,4,2,1.835
1,175.767,2016.0,4,4,0.138
1,177.842,1219.0,4,4,2.075
1,179.332,84.0,4,2,1.49
1,179.557,15.0,3,2,0.225
1,179.639,70.0,2,2,0.082
1,179.715,935.0,4,4,0.076
1,180.853,867.0,3,4,1.138
1,181.758,115.0,2,3,0.905
1,181.923,648.0,4,4,0.165
1,182.694,68.0,1,2,0.771
1,182.767,208.0,3,3,0.073
1,183.285,71.0,4,2,0.518
1,183.418,116.0,3,3,0.133
1,183.605,85.0,2,2,0.187
1,183.695,653.0,3,4,0.09
1,184.404,343.0,3,4,0.709
1,184.776,784.0,4,4,0.372
1,185.814,15.0,2,2,1.038
1,185.952,851.0,4,4,0.138
1,187.131,114.0,4,3,1.179
1,187.471,75.0,3,2,0.34
1,187.606,108.0,2,3,0.135
1,187.817,191.0,2,3,0.211
1,188.043,380.0,4,4,0.226
1,188.675,75.0,4,2,0.632
1,188.772,860.0,4,4,0.097
1,190.63,69.0,4,2,1.858
1,190.835,82.0,4,2,0.205
1,191.626,3541.0,4,4,0.791
1,195.602,37.0,2,2,3.976
1,195.725,910.0,4,4,0.123
1,196.795,945.0,3,4,1.07
1,197.847,942.0,4,4,1.052
1,198.964,251.0,4,3,1.117
1,199.501,82.0,4,2,0.537
1,199.656,59.0,2,2,0.155
1,199.725,20.0,4,2,0.069
1,199.887,381.0,4,4,0.162
1,200.345,187.0,4,3,0.458
1,200.636,61.0,2,2,0.291
1,200.702,89.0,4,2,0.066
1,200.977,19.0,4,2,0.275
1,201.185,544.0,4,4,0.208
1,201.754,995.0,4,4,0.569
1,202.779,347.0,3,4,1.025
1,203.443,70.0,4,2,0.664
1,203.629,13.0,2,2,0.186
1,203.838,467.0,4,4,0.209
1,204.584,93.0,2,2,0.746
1,204.824,895.0,4,4,0.24
1,206.071,674.0,4,4,1.247
1,206.762,224.0,4,3,0.691
1,207.436,65.0,3,2,0.674
1,207.56,152.0,3,3,0.124
1,208.126,58.0,3,2,0.566
1,208.224,199.0,2,3,0.098
1,208.462,259.0,3,3,0.238
1,208.755,811.0,4,4,0.293
1,209.735,1054.0,4,4,0.98
1,211.033,143.0,4,3,1.298
1,211.434,81.0,3,2,0.401
1,211.591,51.0,2,2,0.157
1,211.728,339.0,3,4,0.137
1,212.149,603.0,4,4,0.421
1,212.818,380.0,3,4,0.669
1,213.347,409.0,4,4,0.529
1,213.812,619.0,4,4,0.465
1,214.565,189.0,3,3,0.753
1,214.799,170.0,2,3,0.234
1,215.031,99.0,4,2,0.232
1,215.424,20.0,2,2,0.393
1,215.489,58.0,2,2,0.065
1,215.661,38.0,2,2,0.172
1,215.704,1043.0,4,4,0.043
1,216.893,861.0,4,4,1.189
1,217.815,127.0,2,3,0.922
1,218.084,664.0,4,4,0.269
1,218.834,262.0,3,3,0.75
1,219.37,89.0,4,2,0.536
1,219.531,138.0,4,3,0.161
1,219.77,515.0,4,4,0.239
1,220.475,245.0,3,3,0.705
1,220.746,651.0,4,4,0.271
1,221.509,206.0,3,3,0.763
1,221.741,921.0,4,4,0.232
1,222.885,351.0,4,4,1.144
1,223.912,540.0,4,4,1.027
1,225.577,44.0,2,2,1.665
1,225.671,39.0,2,2,0.094
1,225.713,112.0,2,3,0.042
1,226.349,376.0,3,4,0.636
1,226.752,345.0,4,4,0.403
1,227.393,101.0,3,3,0.641
1,227.546,59.0,2,2,0.153
1,227.653,55.0,2,2,0.107
1,227.731,1025.0,4,4,0.078
1,228.803,328.0,4,4,1.072
1,229.148,586.0,3,4,0.345
1,229.75,261.0,4,3,0.602
1,230.08,132.0,4,3,0.33
1,230.238,58.0,3,2,0.158
1,230.32,119.0,3,3,0.082
1,230.461,63.0,2,2,0.141
1,230.526,32.0,2,2,0.065
1,230.56,97.0,2,2,0.034
1,230.66,56.0,2,2,0.1
1,230.739,133.0,2,3,0.079
1,230.876,107.0,2,3,0.137
1,230.986,51.0,2,2,0.11
1,231.04,32.0,2,2,0.054
1,231.521,43.0,2,2,0.481
1,231.63,38.0,2,2,0.109
1,231.671,20.0,2,2,0.041
1,231.694,19.0,2,2,0.023
1,231.716,44.0,2,2,0.022
1,231.763,45.0,2,2,0.047
1,231.811,43.0,2,2,0.048
1,231.856,43.0,2,2,0.045
1,231.902,43.0,2,2,0.046
1,231.948,43.0,2,2,0.046
1,231.993,43.0,2,2,0.045
1,232.039,42.0,2,2,0.046
1,232.084,41.0,2,2,0.045
1,232.127,43.0,2,2,0.043
1,232.173,39.0,2,2,0.046
1,232.215,43.0,2,2,0.042
1,232.261,42.0,2,2,0.046
1,232.306,56.0,2,2,0.045
1,232.364,40.0,2,2,0.058
1,232.406,48.0,2,2,0.042
1,232.457,34.0,2,2,0.051
1,232.493,40.0,2,2,0.036
1,232.535,44.0,2,2,0.042
1,232.581,42.0,2,2,0.046
1,232.625,40.0,2,2,0.044
1,232.668,25.0,2,2,0.043
1,232.698,15.0,2,2,0.03
1,232.717,40.0,2,2,0.019
1,232.76,39.0,2,2,0.043
1,232.802,38.0,2,2,0.042
1,232.843,39.0,2,2,0.041
1,232.885,45.0,2,2,0.042
1,232.933,139.0,2,3,0.048
1,233.076,113.0,2,3,0.143
1,233.193,21.0,2,2,0.117
1,233.217,30.0,2,2,0.024
1,233.251,31.0,2,2,0.034
1,233.286,19.0,2,2,0.035
1,233.308,40.0,2,2,0.022
1,233.351,111.0,2,3,0.043
1,233.466,73.0,3,2,0.115
1,233.557,154.0,2,3,0.091
1,233.739,181.0,2,3,0.182
1,233.97,1121.0,4,4,0.231
1,235.355,80.0,4,2,1.385
1,235.519,95.0,4,2,0.164
1,235.706,1106.0,4,4,0.187
1,236.893,128.0,4,3,1.187
1,237.192,64.0,4,2,0.299
1,237.362,1149.0,4,4,0.17
1,238.756,78.0,4,2,1.394
1,239.409,373.0,4,4,0.653
1,239.968,77.0,4,2,0.559
1,240.103,1005.0,4,4,0.135
1,241.467,128.0,4,3,1.364
1,241.673,23.0,2,2,0.206
1,241.701,336.0,4,4,0.028
1,242.123,246.0,4,3,0.422
1,242.42,298.0,3,3,0.297
1,242.753,357.0,4,4,0.333
1,243.478,61.0,3,2,0.725
1,243.591,61.0,2,2,0.113
1,243.728,1020.0,4,4,0.137
1,244.81,938.0,4,4,1.082
1,245.801,51.0,2,2,0.991
1,246.011,775.0,4,4,0.21
1,246.842,259.0,2,3,0.831
1,247.312,143.0,3,3,0.47
1,247.555,149.0,3,3,0.243
1,247.803,313.0,2,4,0.248
1,248.321,445.0,4,4,0.518
1,248.801,915.0,4,4,0.48
1,249.937,488.0,4,4,1.136
1,250.525,106.0,4,3,0.588
1,250.89,71.0,4,2,0.365
1,251.415,300.0,4,3,0.525
1,252.003,405.0,4,4,0.588
1,252.503,91.0,4,2,0.5
1,252.74,242.0,4,3,0.237
1,253.061,62.0,4,2,0.321
1,253.205,229.0,4,3,0.144
1,253.582,13.0,3,2,0.377
1,253.676,21.0,2,2,0.094
1,253.766,107.0,4,3,0.09
1,254.386,64.0,4,2,0.62
1,254.503,61.0,4,2,0.117
1,254.682,16.0,4,2,0.179
1,254.707,14.0,4,2,0.025
1,254.747,76.0,4,2,0.04
1,255.1,6.0,2,2,0.353
1,255.159,47.0,2,2,0.059
1,255.242,10.0,2,2,0.083
1,255.336,372.0,2,4,0.094
1,255.713,89.0,2,2,0.377
1,255.91,14.0,2,2,0.197
1,255.998,624.0,2,4,0.088
1,256.723,113.0,4,3,0.725
1,256.909,212.0,4,3,0.186
1,257.223,68.0,4,2,0.314
1,257.37,17.0,4,2,0.147
1,257.521,116.0,4,3,0.151
1,257.73,308.0,4,4,0.209
1,258.358,142.0,4,3,0.628
1,258.578,163.0,4,3,0.22
1,258.758,211.0,4,3,0.18
1,259.217,78.0,4,2,0.459
1,259.372,82.0,4,2,0.155
1,259.508,204.0,3,3,0.136
1,259.746,3190.0,4,4,0.238
1,263.182,69.0,4,2,3.436
1,263.3,64.0,4,2,0.118
1,263.418,301.0,3,4,0.118
1,263.746,987.0,4,4,0.328
1,264.774,975.0,4,4,1.028
1,265.801,50.0,2,2,1.027
1,266.011,750.0,4,4,0.21
1,266.793,240.0,4,3,0.782
1,267.341,98.0,4,2,0.548
1,267.518,132.0,4,3,0.177
1,267.804,2341.0,4,4,0.286
1,270.237,105.0,4,3,2.433
1,270.515,15.0,3,2,0.278
1,270.638,65.0,2,2,0.123
1,270.709,375.0,3,4,0.071
1,271.772,89.0,4,2,1.063
1,272.099,150.0,2,3,0.327
1,272.298,119.0,4,3,0.199
1,272.491,152.0,3,3,0.193
1,273.427,93.0,2,2,0.936
1,273.551,168.0,3,3,0.124
1,273.744,135.0,3,3,0.193
1,273.983,143.0,3,3,0.239
1,274.197,105.0,2,3,0.214
1,274.305,204.0,2,3,0.108
1,274.536,57.0,2,2,0.231
1,274.635,66.0,2,2,0.099
1,274.705,279.0,3,3,0.07
1,275.206,88.0,3,2,0.501
1,275.387,47.0,2,2,0.181
1,275.478,187.0,2,3,0.091
1,275.719,1044.0,4,4,0.241
1,276.941,809.0,4,4,1.222
1,277.802,151.0,2,3,0.861
1,278.032,754.0,4,4,0.23
1,278.859,211.0,2,3,0.827
1,279.375,69.0,4,2,0.516
1,279.511,88.0,3,2,0.136
1,279.674,22.0,2,2,0.163
1,279.702,715.0,3,4,0.028
1,280.52,219.0,3,3,0.818
1,280.765,851.0,4,4,0.245
1,281.796,990.0,4,4,1.031
1,283.009,185.0,4,3,1.213
1,283.482,82.0,3,2,0.473
1,283.63,65.0,2,2,0.148
1,283.701,15.0,3,2,0.071
1,283.778,238.0,2,3,0.077
1,284.077,665.0,3,4,0.299
1,284.767,364.0,3,4,0.69
1,285.236,504.0,3,4,0.469
1,288.018,703.0,4,4,2.782
1,288.784,209.0,4,3,0.766
1,289.641,83.0,4,2,0.857
1,289.743,466.0,4,4,0.102
1,290.52,68.0,4,2,0.777
1,290.675,65.0,4,2,0.155
1,290.841,181.0,4,3,0.166
1,291.327,74.0,4,2,0.486
1,291.645,89.0,2,2,0.318
1,291.739,140.0,2,3,0.094
1,291.949,811.0,4,4,0.21
1,292.899,74.0,2,2,0.95
1,293.038,722.0,4,4,0.139
1,293.823,265.0,3,3,0.785
1,294.181,605.0,4,4,0.358
1,294.833,283.0,3,3,0.652
1,295.449,72.0,4,2,0.616
1,295.608,73.0,4,2,0.159
1,295.811,931.0,4,4,0.203
1,296.782,984.0,4,4,0.971
1,297.866,1354.0,4,4,1.084
1,299.507,85.0,4,2,1.641
1,299.667,114.0,4,3,0.16
1,299.918,263.0,4,3,0.251
1,300.267,123.0,4,3,0.349
1,300.499,92.0,3,2,0.232
1,300.829,986.0,4,4,0.33
1,301.974,1266.0,4,4,1.145
1,303.817,123.0,4,3,1.843
1,304.09,109.0,4,3,0.273
1,304.256,564.0,4,4,0.166
1,304.93,669.0,4,4,0.674
1,305.722,200.0,3,3,0.792
1,306.195,86.0,4,2,0.473
1,306.38,369.0,4,4,0.185
1,306.801,231.0,4,3,0.421
1,307.713,1008.0,4,4,0.912
1,308.924,393.0,4,4,1.211
1,309.607,52.0,2,2,0.683
1,309.754,103.0,2,3,0.147
1,309.921,16.0,2,2,0.167
1,309.986,765.0,4,4,0.065
1,310.818,134.0,3,3,0.832
1,311.176,94.0,4,2,0.358
1,311.315,114.0,3,3,0.139
1,311.483,238.0,3,3,0.168
1,311.739,123.0,2,3,0.256
1,311.93,3210.0,4,4,0.191
1,315.513,91.0,4,2,3.583
1,315.741,83.0,4,2,0.228
1,315.918,3318.0,4,4,0.177
1,319.515,75.0,3,2,3.597
1,319.654,53.0,2,2,0.139
1,319.714,92.0,3,2,0.06
1,319.883,448.0,3,4,0.169
1,320.464,75.0,4,2,0.581
1,320.662,34.0,2,2,0.198
1,320.705,90.0,4,2,0.043
1,320.923,566.0,4,4,0.218
1,321.606,94.0,2,2,0.683
1,321.705,714.0,4,4,0.099
1,322.745,54.0,4,2,1.04
1,322.81,246.0,4,3,0.065
1,323.474,129.0,2,3,0.664
1,323.647,52.0,2,2,0.173
1,323.703,609.0,4,4,0.056
1,324.49,237.0,2,3,0.787
1,324.805,16.0,4,2,0.315
1,325.226,490.0,3,4,0.421
1,325.743,92.0,2,2,0.517
1,325.954,833.0,4,4,0.211
1,326.845,348.0,4,4,0.891
1,327.561,30.0,2,2,0.716
1,327.637,77.0,2,2,0.076
1,327.718,63.0,3,2,0.081
1,327.845,112.0,2,3,0.127
1,328.007,750.0,4,4,0.162
1,328.81,947.0,4,4,0.803
