cpu-id,start_time_ms,width_us,actual_state,predicted_state,delta_time_ms
1,2.807,1863.0,4,4,0
1,5.425,129.0,3,3,2.618
1,5.74,185.0,4,3,0.315
1,6.34,308.0,3,4,0.6
1,6.678,141.0,4,3,0.338
1,7.223,428.0,3,4,0.545
1,7.673,1014.0,4,4,0.45
1,8.733,936.0,4,4,1.06
1,9.696,989.0,4,4,0.963
1,10.829,856.0,4,4,1.133
1,11.736,949.0,4,4,0.907
1,12.844,808.0,4,4,1.108
1,13.682,959.0,4,4,0.838
1,14.672,981.0,4,4,0.99
1,15.675,970.0,4,4,1.003
1,16.683,963.0,4,4,1.008
1,17.675,969.0,4,4,0.992
1,18.661,1019.0,4,4,0.986
1,19.728,914.0,4,4,1.067
1,20.745,316.0,3,4,1.017
1,21.376,181.0,3,3,0.631
1,21.601,6291.0,4,4,0.225
1,27.932,10068.0,4,4,6.331
1,38.471,302.0,4,4,10.539
1,38.984,113.0,4,3,0.513
1,39.161,503.0,4,4,0.177
1,39.715,933.0,4,4,0.554
1,40.808,6329.0,4,4,1.093
1,47.451,63.0,3,2,6.643
1,47.594,51.0,2,2,0.143
1,47.675,1007.0,4,4,0.081
1,48.733,909.0,4,4,1.058
1,49.743,900.0,4,4,1.01
1,50.685,956.0,4,4,0.942
1,51.746,936.0,4,4,1.061
1,52.759,1902.0,4,4,1.013
1,55.403,130.0,3,3,2.644
1,55.731,194.0,4,3,0.328
1,56.341,309.0,3,4,0.61
1,56.704,17.0,4,2,0.363
1,57.143,502.0,3,4,0.439
1,57.667,1013.0,4,4,0.524
1,58.725,954.0,4,4,1.058
1,59.79,860.0,4,4,1.065
1,60.714,939.0,4,4,0.924
1,61.764,880.0,4,4,1.05
1,62.686,960.0,4,4,0.922
1,63.747,894.0,4,4,1.061
1,64.663,983.0,4,4,0.916
1,65.773,813.0,4,4,1.11
1,66.72,921.0,4,4,0.947
1,67.679,1000.0,4,4,0.959
1,68.724,955.0,4,4,1.045
1,69.823,818.0,4,4,1.099
1,70.667,651.0,4,4,0.844
1,71.607,22.0,2,2,0.94
1,71.631,1044.0,4,4,0.024
1,72.726,950.0,4,4,1.095
1,73.837,840.0,4,4,1.111
1,74.747,2928.0,4,4,0.91
1,77.841,5111.0,4,4,3.094
1,83.043,281.0,4,3,5.202
1,83.451,266.0,4,3,0.408
1,83.796,4202.0,4,4,0.345
1,88.34,4386.0,4,4,4.544
1,92.882,3796.0,4,4,4.542
1,96.871,2245.0,4,4,3.989
